K,silhouette,davies_bouldin,inertia,cluster_sizes
2,0.752928614616394,0.5486615835029836,17015.63671875,"[39168, 42800]"
3,0.948863685131073,0.10096900850482031,900.0115966796875,"[24698, 42802, 14468]"
4,0.9308021664619446,0.5447661667186166,604.5592041015625,"[42317, 23843, 14020, 1788]"
