fold,repeat,fold_in_repeat,model,threshold,auc,accuracy,f1,precision,recall,mcc,ece_before,ece_after,T,brier,nll,adaptive_ece,calib_slope,calib_intercept,gate_w0,gate_w1,gate_w2
0,0,0,global,0.17333333333333334,0.8904421515503583,0.8789248828238417,0.9271433919880194,0.8865816984104253,0.971594475831764,0.595247780136395,0.14413804708299,0.12170046831831834,0.7959798994974874,0.11681843116554645,0.3869600126712416,0.14413804708299002,1.096451426894456,1.2127973624818988,,,
0,0,0,soft_moe,0.17333333333333334,0.8879089388043447,0.8775975776680908,0.9263189433472323,0.8860759493670886,0.9703912952500523,0.590529770640076,0.14993812448173494,0.13730268645720645,0.8668341708542713,0.12189472044956969,0.3989307834806599,0.14993812778662774,0.9879743525763107,1.2985558984795282,0.16660718619823456,0.5356772541999817,0.2977127134799957
0,0,0,soft_moe_calibrated,0.15,0.887908938804345,0.8788419262516073,0.9269256748305106,0.8882389605408256,0.9691358024691358,0.5958348471451492,0.14993812448173494,0.13730268645720645,0.8668341708542713,,,,,,,,
0,0,0,soft_moe_isotonic,0.40083333333333326,0.8874249959568842,0.8778879256709112,0.9264735264735264,0.8864461861976678,0.9702866708516426,0.5916960262843739,0.14993812448173494,0.01115952723206953,0.8668341708542713,0.09180217846764407,0.31159757193188514,0.011466181319886987,0.9732093875417905,0.03042114630666001,,,
0,0,0,soft_moe_no_kl,0.15,0.8899758835837426,0.8807914056991165,0.9277490069887878,0.8930403639531507,0.9652646997279766,0.6050333309754374,0.1649616716736388,0.1649616716736388,,0.12694071159487963,0.4201443430923488,0.16496167972283862,0.9042869468638144,1.4595398112436249,0.40966811776161194,0.4292333424091339,0.16109633445739746
0,0,0,soft_moe_no_kl_isotonic,0.3483333333333333,0.8894285699498025,0.8755236633622299,0.9254169048388299,0.8814923535817433,0.9739485247959824,0.5812572611159419,0.1649616716736388,0.007816774899872364,,0.09123854420300122,0.30914929706875854,0.012496884856355289,0.9843019707143462,0.01382891092937147,,,
0,0,0,tabnet,0.20249999999999999,0.8869614991852792,0.876311750798457,0.9251844046364595,0.8889210297946196,0.9645323289391086,0.5881321431264865,0.18246195806843443,0.18246195806843443,0.7723618090452261,0.13146962858667374,0.43179325778791683,0.18246194089304835,1.1072016953802577,1.4135321040242281,,,
0,0,0,tabnet_isotonic,0.4591666666666666,0.8854373262135937,0.8790078393960762,0.9262844001920598,0.8959667562943046,0.9587256748273697,0.6017810992478528,0.18246195806843443,0.005451699492076851,0.7723618090452261,0.09316587681020831,0.31538680957211623,0.005685694673468658,0.9811543274509786,0.013880711732916754,,,
0,0,0,lstm,0.17916666666666667,0.8886054883616724,0.8790907959683106,0.9267974184475528,0.8912340014489254,0.9653170119271814,0.5984821996930236,0.15948425184474402,0.15948425184474402,0.8432160804020101,0.12308827307942832,0.40653096638274655,0.15948424368169722,1.030399113854214,1.343919405971414,,,
0,0,0,lstm_isotonic,0.46499999999999997,0.8881916949894321,0.8798788834045377,0.9269277351635042,0.895301228309612,0.9608704749947687,0.6038476729419746,0.15948425184474402,0.0061019922774801835,0.8432160804020101,0.09144191684677813,0.30957358191905776,0.00817096775604792,0.9965531349293031,0.0030803326442195578,,,
0,0,0,hard_moe,0.185,0.7602725789321204,0.8523787797088225,0.9130657807958181,0.8564358704119507,0.9777150031387319,0.4844460287144704,0.26983576961777356,0.27252108207672177,1.1266331658291457,,,,,,,,
0,0,0,hard_moe_isotonic,0.45333333333333325,0.7635171715815408,0.8529179974283463,0.9131223049784398,0.8587557603686636,0.974837832182465,0.48776684603424575,0.26983576961777356,0.007895592407885977,,,,,,,,,
1,0,1,global,0.24333333333333332,0.8696962008492242,0.8777220125264424,0.9259408129427724,0.8907632075015709,0.9640110896061097,0.5937845281143678,0.059989310456097254,0.07063322641275618,1.1030150753768844,0.10334349630617147,0.3536076530901469,0.06219835244122701,0.7244952736336482,0.8520155416923667,,,
1,0,1,soft_moe,0.19083333333333333,0.8814239991707609,0.8761458376539881,0.9245921511187434,0.8938040134759045,0.9575770256839462,0.5914370397894348,0.1477578467287281,0.14208363204887248,0.9376884422110552,0.12577739339151195,0.4076814413202266,0.14775786638746413,0.904283347280399,1.3222707205164739,0.1746857762336731,0.5317034125328064,0.29361122846603394
1,0,1,soft_moe_calibrated,0.17916666666666667,0.8814239991707609,0.8760214027956365,0.9244648859012914,0.8942505133470225,0.956792383742219,0.5914666929382797,0.1477578467287281,0.14208363204887248,0.9376884422110552,,,,,,,,
1,0,1,soft_moe_isotonic,0.4475,0.8810270728295262,0.8761458376539881,0.9246149962130775,0.8935734153125457,0.9578908824606371,0.5912363157631564,0.1477578467287281,0.008425158162310147,0.9376884422110552,0.0936700223155233,0.31475766518194265,0.009545861581261857,0.9867683525776484,0.063077791245405,,,
1,0,1,soft_moe_no_kl,0.16749999999999998,0.8815979553790223,0.8765191422290431,0.9251426990872288,0.8907611853573504,0.9622848773343098,0.5900578211835042,0.14883299583485032,0.14883299583485032,,0.12554648305164914,0.407504612889088,0.14883300946718883,0.9232956530036661,1.3248181456326138,0.4446839988231659,0.4211440682411194,0.13417354226112366
1,0,1,soft_moe_no_kl_isotonic,0.41833333333333333,0.8813026405883877,0.8766850553735119,0.9252808565181332,0.8904798761609907,0.9629125908876915,0.5903559689360959,0.14883299583485032,0.008515595758716306,,0.09352757387944469,0.31465513259603695,0.010567389018156084,0.9932991162133853,0.0525650008127756,,,
1,0,1,tabnet,0.185,0.8804987021971987,0.875731054792816,0.9244655102864058,0.892295712269431,0.9590416906418371,0.5889119987167866,0.124465853631468,0.124465853631468,0.9613065326633166,0.11888500549087064,0.3884306920332852,0.12446586272599193,0.8971106222488195,1.1722955050465818,,,
1,0,1,tabnet_isotonic,0.42999999999999994,0.8801155867277481,0.8757725330789332,0.9244926257405773,0.892300953864123,0.9590940001046189,0.5890400885261977,0.124465853631468,0.007776988168739611,0.9613065326633166,0.09458531070002602,0.31779501930581266,0.008760886623456653,0.9827868076824061,0.05931927922741302,,,
1,0,1,lstm,0.21999999999999997,0.8809927080692712,0.8747770542121199,0.9231943419747118,0.8986627043090639,0.9491028927132918,0.592214728688963,0.14723593106799998,0.14723593106799998,0.914070351758794,0.12408962230948918,0.406135118590165,0.1472359458247055,0.9286685147267838,1.3044633963706949,,,
1,0,1,lstm_isotonic,0.4591666666666666,0.8805864662007101,0.8747355759260027,0.9231395703960094,0.8989343246592317,0.9486844170110373,0.5923830496859915,0.14723593106799998,0.008591498457536009,0.914070351758794,0.09412844119805884,0.31636648398775663,0.009703359054901783,0.9919206368336613,0.050399037649046095,,,
1,0,1,hard_moe,0.2608333333333333,0.7839083256126579,0.8594715666348667,0.9166256521311152,0.8654677261954552,0.9742114348485641,0.5159348829303918,0.2307665170155648,0.216046808807572,0.7015075376884422,,,,,,,,
1,0,1,hard_moe_isotonic,0.4591666666666666,0.7910330536286001,0.8590567837736944,0.9164165887735524,0.8649301202581604,0.9744206726996913,0.5141142863506813,0.2307665170155648,0.010392601129609103,,,,,,,,,
2,0,2,global,0.20833333333333331,0.869865880407606,0.8768458602953376,0.9258398900961659,0.8859410105645585,0.9695019878635698,0.5878878843786453,0.0636953662567524,0.07192307467497677,1.079396984924623,0.10283888538917149,0.3548675323128166,0.06640550934341437,0.7258067236263235,0.8762105702487445,,,
2,0,2,soft_moe,0.19083333333333333,0.8839508142930341,0.8779243404678945,0.9256912006059841,0.8946751915662062,0.9589349236241892,0.5974446196718912,0.17505517167195134,0.16172399794621023,0.8668341708542713,0.13150420316657518,0.43030650857907443,0.1750551937341946,0.9686605329611432,1.455406508389911,0.17473484575748444,0.5284988284111023,0.29676446318626404
2,0,2,soft_moe_calibrated,0.16166666666666665,0.8839508142930341,0.8783391405342624,0.9258987898234001,0.8953823601270462,0.9585687382297552,0.5992609527822859,0.17505517167195134,0.16172399794621023,0.8668341708542713,,,,,,,,
2,0,2,soft_moe_isotonic,0.45333333333333325,0.8835986972334225,0.8781317405010785,0.9257518321961081,0.8954727681627066,0.9581502406361163,0.5987253166482369,0.17505517167195134,0.006167994191249207,0.8668341708542713,0.0926973560304862,0.31735465947157443,0.00507676755029077,0.9728310739601732,0.06874037696281121,,,
2,0,2,soft_moe_no_kl,0.22583333333333333,0.8833709054805748,0.8783391405342624,0.9257449555684955,0.896972967669136,0.9564239380623561,0.6006223463879309,0.1678692773312098,0.1678692773312098,,0.12838366577433652,0.41884597052134404,0.16786927620929637,1.018852996940148,1.3790129029071467,0.3857656419277191,0.4674738943576813,0.14676158130168915
2,0,2,soft_moe_no_kl_isotonic,0.4475,0.8828201550604005,0.8783391405342624,0.9259324730422486,0.8950349069960455,0.9590395480225988,0.5989727836832232,0.1678692773312098,0.006734519775679328,,0.09258445728633016,0.317431423539065,0.005204789644717306,0.9645961479532217,0.07933152972956176,,,
2,0,2,tabnet,0.19083333333333333,0.8825056216751573,0.8756844201095072,0.9246511627906977,0.8901205285831841,0.9619690311780708,0.5870151423385744,0.12570752165157745,0.12570752165157745,0.8904522613065327,0.11488737778219102,0.3840096154458203,0.12570752880839625,0.9372328058986855,1.1450014761691452,,,
2,0,2,tabnet_isotonic,0.4241666666666666,0.8821290042305816,0.8757673801227808,0.924705231666541,0.890131164996854,0.9620736555764804,0.5872781022638285,0.12570752165157745,0.007102829248259462,0.8904522613065327,0.09412160534654761,0.3207973322540395,0.005766620860894451,0.9809841499727847,0.057210479877693295,,,
2,0,2,lstm,0.20249999999999999,0.8830968585099206,0.8760162601626016,0.92454878202701,0.8933606517391093,0.9579933040385018,0.5906860952725315,0.13496495569311792,0.13496495569311792,0.914070351758794,0.11956298474301905,0.3924658639392733,0.1349649535928036,0.9304761663294958,1.2249935105768164,,,
